Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,K1,K2,Terdekat
132,7.9,3.8,6.4,2,2.034698995,2.523885893,K1
133,6.4,2.8,5.6,2.2,0.670820393,0.836660027,K1
134,6.3,2.8,5.1,1.5,1.048808848,0.538516481,K2
135,6.1,2.6,5.6,1.4,1.224744871,0.781024968,K2
136,7.7,3,6.1,2.3,1.702938637,2.11896201,K1
137,6.3,3.4,5.6,2.4,0.244948974,0.964365076,K1
138,6.4,3.1,5.5,1.8,0.6244998,0.64807407,K1
139,6,3,4.8,1.8,0.9,0.316227766,K2
140,6.9,3.1,5.4,2.1,0.787400787,1.090871211,K1
141,6.7,3.1,5.6,2.4,0.6244998,1.122497216,K1
142,6.9,3.1,5.1,2.3,0.818535277,1.122497216,K1
143,5.8,2.7,5.1,1.9,0.948683298,0.331662479,K2
144,6.8,3.2,5.9,2.3,0.806225775,1.319090596,K1
145,6.7,3.3,5.7,2.5,0.6244998,1.256980509,K1
146,6.7,3,5.2,2.3,0.670820393,0.948683298,K1
147,6.3,2.5,5,1.9,1.067707825,0.655743852,K2
148,6.5,3,5.2,2,0.6164414,0.640312424,K1
149,6.2,3.4,5.4,2.3,0,0.768114575,K1
150,5.9,3,5.1,1.8,0.768114575,0,K2
,,,,,,,
,,,,,,,
,,,,,,,
,Centroid ke 1,,,,,,
149,K1,6.2,3.4,5.4,2.3,,33
150,K2,5.9,3,5.1,1.8,,117
,,,,,,,
,Centroid ke 2,,,,,,
,K1,6.906060606,3.106060606,5.812121212,2.133333333,,
,K2,5.543589744,3.039316239,3.179487179,0.935042735,,
